ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,LOAN_BRANCH_CODE,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,LOAN_STAGE
294147,,,,,Active,,9,YES,PTP,2021-11-23 13:42:56,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,100,COLLECTION
123441,,,,,Active,,2,NO,Unreachable: Out of reach,2022-01-20 10:42:09,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,99,COLLECTION
164919,,,,,Active,,6,NO,Unreachable: Ringing no answer,2022-01-26 09:11:56,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,79,COLLECTION
46325,,,,,Active,,6,NO,Unreachable: Engaged,2022-01-26 11:48:49,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,15,
76177,,,,,Active,,16,NO,Unreachable: Ringing no answer,2022-01-26 12:38:39,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,13,
20321,,,,,Active,,10,NO,Client Situation Confirmed,2022-01-26 16:22:40,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,16,
62908,,,,,Active,,4,YES,PTP,2022-01-27 11:29:08,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,8,
34100,,,,,Active,,4,YES,PTP,2022-01-27 11:39:24,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,52,
19030,,,,,Active,,8,YES,PTP,2022-01-27 17:13:12,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,52,
115537,,,,,Active,,11,NO,Unreachable: Ringing no answer,2022-01-28 12:22:09,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,52,
118038,,,,,Active,,2,NO,Unreachable: Ringing no answer,2022-01-28 12:54:11,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,52,
30784,,,,,Active,,4,NO,Unreachable: Engaged,2022-01-28 15:08:24,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,4,
107882,,,,,Active,,11,YES,PTP,2022-01-28 15:19:21,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,52,
121599,,,,,Active,,11,YES,PTP,2022-01-28 16:07:02,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,52,
120326,,,,,Active,,4,NO,Unreachable: Out of reach,2022-01-31 10:20:09,CALL,4,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,17,
120579,,,,,Active,,4,NO,Client Situation Unconfirmed,2022-01-31 10:39:13,CALL,3,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,52,
66326,,,,,Active,,10,NO,Unreachable: Out of reach,2022-01-31 11:56:41,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,1,
48339,,,,,Active,,16,YES,PTP,2022-02-01 12:42:15,CALL,3,Individual,PERSONAL BANKING,,,Restructured,e0Y e1M e0W o28D e0F,,52,COLLECTION
117062,,,,,Active,,9,NO,Invalid Contact: Wrong Number,2022-02-01 12:53:20,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o28D e0F,,1,
117104,,,,,Active,,10,NO,Unreachable: Ringing no answer,2022-02-01 14:46:19,CALL,2,Individual,PERSONAL BANKING,,,Active,e0Y e1M e0W o27D e0F,,18,
