,CUSTOMER_RISK_STATUS,INDUSTRY,REPAY_FREQUENCY,Late_Night,Early_Morning,Morning,Late_Morning,Afteroon,Late_Afternoon,Evening,Late_Evening,Night,PREF_SESSION,RESIDENCE_GB,RESIDENCE_KE,RESIDENCE_KG,RESIDENCE_NA,RESIDENCE_NG,RESIDENCE_NL,RESIDENCE_RW,RESIDENCE_US,GENDER_MALE,CUSTOMER_STATUS_Deceased,CUSTOMER_STATUS_Internal Customer,CUSTOMER_STATUS_NORMAL CLIENT,CUSTOMER_STATUS_Rts Mail/New Address Required,CUSTOMER_STATUS_Watch List / Hotlist,SEGMENT_CORPORATE,SEGMENT_HUMAN RESOURCES,SEGMENT_PERSONAL BANKING,SEGMENT_PREMIER BANKING,PROMISE_SUCCESS_YES,OUTCOME_DEBT FULLY CLEARED,OUTCOME_DECEASED,OUTCOME_FULL AND FINAL,OUTCOME_NEGOTIATION IN PROGRESS,OUTCOME_NONE,OUTCOME_PTP,OUTCOME_RESTRUCTURE,OUTCOME_SKIPTRACE,OUTCOME_UNREACHABLE,OUTCOME_Un-REACHABLE RPO,GROUP_NAME_DIGITAL SASA,GROUP_NAME_HP,GROUP_NAME_IPF,GROUP_NAME_MCL,GROUP_NAME_MORTGAGES,LOAN_STATUS_CURRENT,LOAN_STATUS_EXPIRED,LOAN_STATUS_PENDING.CLOSURE,REPAY_CURRENCY_USD,STAGE_COLLECTION,STAGE_REPOSSESSION,DAO_AREA_BRANCH BUSINESS,DAO_AREA_BRANCH OPERATIONS,DAO_AREA_BUSINESS BANKING,DAO_AREA_COMMERCIAL BANKING,DAO_AREA_CORPORATE RECOVERIES,DAO_AREA_CREDIT COLLECTIONS,DAO_AREA_CREDIT RISK MANAGEMENT,DAO_AREA_DIASPORA BANKING,DAO_AREA_GO BANKING,DAO_AREA_GOLD BANKING,DAO_AREA_HUMAN RESOURCES,DAO_AREA_NCBA HOUSE,DAO_AREA_PLATINUM BANKING,DAO_AREA_PREMIER BANKING,DAO_AREA_REMEDIAL MANAGEMENT,DAO_AREA_RETAIL BANKING,DAO_AREA_SALES,DAO_AREA_SCHEMES & MORTGAGES,DAO_AREA_SME BANKING,DAO_AREA_TEAM B,DAO_AREA_TEAM E,DAO_AREA_TEAM H
0,36,1845,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,1845,5,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,4260,37,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,12,4260,37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,36,3478,8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,36,3478,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,12,4260,33,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,12,4260,33,0.0,0.0,6.0,2.0,0.0,0.0,7.0,0.0,0.0,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,12,4260,5,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,36,4260,5,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,4260,5,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,4260,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,12,4260,1,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,1,4260,10,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,4260,10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,36,3435,3,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
