ID,GENDER,CUSTOMER_RISK_STATUS,INDUSTRY,RESIDENCE,CUSTOMER_STATUS,SEGMENT,BRANCH,PROMISE_SUCCESS,OUTCOME,TIME_STAMP,ACTIVITY,VERSION_NUMBER,GROUP_NAME,DELINQUENCY_STRING,DELINQUENT_STATUS,DAO_AREA,LOAN_STATUS,REPAY_FREQUENCY,REPAY_CURRENCY,LOAN_TYPE,STAGE
100431,MALE,A5,1845,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH",NO,RESTRUCTURE,"2020-11-09 14:33",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"LOAN - ASSET FINANCE",NULL
103118,MALE,B9,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","HARAMBEE BRANCH",YES,RESTRUCTURE,"2020-11-17 09:20:21",CALL,2,HP,"PERSONAL BANKING",B9,"SME BANKING",PENDING.CLOSURE,"e0Y e1M e0W o29D e0F",KES,"LOAN - ASSET FINANCE",NULL
106987,MALE,B9,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,NONE,"2020-11-12 15:26:43",NONE,1,HP,"PERSONAL BANKING",B9,"GOLD BANKING",CURRENT,"e0Y e1M e0W o21D e0F",KES,"LOAN - ASSET FINANCE",REPOSSESSION
107188,MALE,B20,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","MOI AVENUE BRANCH, MOMBASA",NO,RESTRUCTURE,"2020-10-07 12:47",CALL,NULL,HP,"PERSONAL BANKING",B20,"CREDIT COLLECTIONS",CLOSE,"e0Y e1M e0W o14D e0F",KES,,NULL
109625,FEMALE,A5,3435,KE,"NORMAL CLIENT","PERSONAL BANKING","LAVINGTON BRANCH",NO,RESTRUCTURE,"2020-10-22 15:30",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"LOAN - ASSET FINANCE",NULL
109957,MALE,B10,3478,KE,"NORMAL CLIENT","PERSONAL BANKING","THIKA ROAD MALL BRANCH",NO,RESTRUCTURE,"2020-10-22 15:54",CALL,NULL,HP,"PERSONAL BANKING",B10,"CREDIT COLLECTIONS",CLOSE,"e0Y e1M e0W o2D e0F",KES,"LOAN - ASSET FINANCE",NULL
110131,MALE,A5,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","PRESTIGE BRANCH",NO,PTP,"2021-06-14 08:22",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"LOAN - ASSET FINANCE",COLLECTION
111297,MALE,A5,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","MALL BRANCH",NO,RESTRUCTURE,"2020-10-22 10:37",CALL,1,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CLOSE,"e0Y e1M e0W o19D e0F",KES,,NULL
112508,FEMALE,A5,2115,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,PTP,"2021-03-29 10:50",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"LOAN - ASSET FINANCE",REPOSSESSION
116807,MALE,A5,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,NONE,"2020-11-12 15:26:43",NONE,1,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"LOAN - ASSET FINANCE",NULL
120315,MALE,A5,2405,KE,"NORMAL CLIENT","PERSONAL BANKING","CITY CENTRE BRANCH",NO,PTP,"2021-01-28 11:44",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"LOAN - ASSET FINANCE",COLLECTION
123012,MALE,A5,2620,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH",NO,PTP,"2021-03-04 10:57",EMAIL,1,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"LOAN - ASSET FINANCE",COLLECTION
123441,MALE,A5,2110,KE,"NORMAL CLIENT","PERSONAL BANKING","KITENGELA BRANCH",NO,RESTRUCTURE,"2021-01-07 08:53",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"LOAN - ASSET FINANCE",COLLECTION
123470,MALE,A5,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","PRESTIGE BRANCH",NO,PTP,"2021-03-11 14:32",EMAIL,1,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"LOAN - ASSET FINANCE",NULL
126615,MALE,A5,1430,KE,"NORMAL CLIENT","PERSONAL BANKING","MACHAKOS BRANCH, MACHAKOS",NO,PTP,"2021-01-28 11:31",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"LOAN - ASSET FINANCE",COLLECTION
128431,MALE,A5,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","PRESTIGE BRANCH",NO,RESTRUCTURE,"2021-03-08 15:19",CALL,NULL,HP,"PERSONAL BANKING",A5,"PLATINUM BANKING",CURRENT,"e0Y e1M e0W o5D e0F",KES,"LOAN - ASSET FINANCE",REPOSSESSION
128961,MALE,A5,3478,KE,"NORMAL CLIENT","PERSONAL BANKING","MALL BRANCH",NO,PTP,"2021-02-01 09:43",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CLOSE,"e0Y e1M e0W o26D e0F",KES,,NULL
129593,FEMALE,A5,4260,KE,"NORMAL CLIENT","PREMIER BANKING","PRESTIGE BRANCH",NO,RESTRUCTURE,"2020-11-11 10:03",CALL,2,CORMMERCIAL,"PREMIER BANKING",A5,"PREMIER BANKING",CLOSE,"e0Y e1M e0W o15D e0F",KES,,NULL
130296,MALE,A5,2410,KE,"NORMAL CLIENT","PERSONAL BANKING","NCBA HOUSE",NO,RESTRUCTURE,"2020-11-25 15:19",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CURRENT,"e0Y e1M e0W o3D e0F",KES,"LOAN - ASSET FINANCE",NULL
133229,MALE,A5,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","MACHAKOS BRANCH, MACHAKOS",NO,PTP,"2020-12-02 16:20",EMAIL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"LOAN - ASSET FINANCE",NULL
135199,MALE,A5,1896,KE,"NORMAL CLIENT","PERSONAL BANKING","RONGAI BRANCH",NO,RESTRUCTURE,"2020-11-16 13:47",CALL,2,HP,"PERSONAL BANKING",A5,"GO BANKING",CLOSE,"e0Y e1M e0W o25D e0F",KES,,NULL
140161,MALE,A5,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH",NO,PTP,"2021-04-22 12:27",CALL,NULL,HP,"PERSONAL BANKING",A5,"GOLD BANKING",CURRENT,"e0Y e1M e0W o25D e0F",KES,"LOAN - ASSET FINANCE",NULL
144954,MALE,A5,4260,KE,"NORMAL CLIENT","PERSONAL BANKING","NAKURU BRANCH",NO,PTP,"2021-01-18 11:02",CALL,NULL,HP,"PERSONAL BANKING",A5,"GO BANKING",CLOSE,"e0Y e1M e0W o14D e0F",KES,,NULL
